creator_id,creator_display_name,creator_role,creator_handle_to_verify,opt_in_status,category_slug,category_label,rank_position,rank_status_raw,place_id,canonical_place_name,original_place_name_from_upload,neighborhood_or_area_hint,creator_feedback_summary,place_detail_summary_from_upload,taste_tags,recommendation_attributes,source_type,source_file,verification_status,publish_disclaimer
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,fried-chicken,Fried Chicken,,The Mecca,seattle-ezell-s-famous-chicken,Ezell's Famous Chicken,Ezell’s (Original),Central District,10-year regular. Referred to as the Mecca of Seattle chicken. Spicy tenders + rolls are money.,Central District (Garfield High School location). Original spot of the famous chain.,chicken|fried-chicken|neighborhood-central-district,chicken|neighborhood-central-district,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,burgers,Burgers,1,#1 Spot Now,seattle-familyfriend,Familyfriend,familyfriend,Beacon Hill,Number one spot for the burger in Seattle right now. Freaking delicious.,Beacon Hill. Known for double smash burgers with house-made sauce and Kewpie mayo.,burger|burgers|kewpie|neighborhood-beacon-hill|smash-burger,burger|kewpie|neighborhood-beacon-hill|smash-burger,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,burgers,Burgers,,Top Favorite,seattle-coastline-burgers,Coastline Burgers,Coastline Burgers,Seattle,Classic flat top burger. One of his favorite types.,"Seattle. Known for simple, well-executed flat top burgers with fresh ingredients.",burger|burgers|classic,burger|classic,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,ramen-noodles,Ramen + Noodles,,All-time Favorite,seattle-ooink,Ooink,Ooink,Capitol Hill,"Mapo Tofu Ramen; rich, velvety broth. Might be my favorite ramen of all time.",Capitol Hill. Specializes in unique fusion ramen like Mapo Tofu Ramen (~$20.50).,distinctive|mapo|neighborhood-capitol-hill|noodles|ramen|ramen-noodles,distinctive|mapo|neighborhood-capitol-hill|noodles|ramen,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,ramen-noodles,Ramen + Noodles,,Top Pick,seattle-phnom-penh-noodle-house,Phnom Penh Noodle House,Phnom Penh Noodle House,,Wonton noodle soup is freaking delicious. Uniquely clear broth.,913 S Jackson St. Iconic Cambodian restaurant. Famous for its Sate Beef Noodle Soup (~$20.95).,cambodian|distinctive|hype-worthy|iconic|noodles|ramen-noodles,cambodian|distinctive|hype-worthy|iconic|noodles,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,cookies,Cookies,1,1,seattle-volunteer-park-cafe,Volunteer Park Cafe,Volunteer Park Cafe,Capitol Hill,"Perfect texture: crisp edges, right in the center.",1501 17th Ave E. Historic cafe in North Capitol Hill. Cookies are highly rated for texture.,cookies|crispy|neighborhood-capitol-hill,crispy|neighborhood-capitol-hill,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,cookies,Cookies,2,2,seattle-pastry-project,Pastry Project,Pastry Project,Pioneer Square,Pioneer Square bakery window; top-tier chocolate chip cookie.,Pioneer Square. Community-focused bakery providing job training in the pastry arts.,bakery|chocolate-chip|cookies|neighborhood-pioneer-square|pastry,bakery|chocolate-chip|neighborhood-pioneer-square|pastry,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,cookies,Cookies,3,3,seattle-ak-pizza,AK Pizza,AK Pizza,Othello,"Massive piece of chonk; cakey, soft texture, crispy edges; rich and flavorful.","Othello station area. Known for their pizza, but their massive cookies are a standout.",cookies|crispy|large-portions|neighborhood-othello|pizza,crispy|large-portions|neighborhood-othello|pizza,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,cookies,Cookies,4,4,seattle-carmelo-s-tacos,Carmelo's Tacos,Carmelo's Tacos,Capitol Hill,Brown butter chocolate chip with almonds; dip in horchata for a mind-blowing experience.,"Capitol Hill. Famous for tacos, but the brown butter almond cookie is a hidden gem.",almond|brown-butter|chocolate-chip|cookies|hidden-gem|neighborhood-capitol-hill|tacos,almond|brown-butter|chocolate-chip|hidden-gem|neighborhood-capitol-hill|tacos,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,cookies,Cookies,5,5,seattle-metropolitan-market,Metropolitan Market,Metropolitan Market,,The Cookie (chocolate chips + walnuts); gooey; slightly overrated but delicious.,"Multiple locations. Famous for their massive, warm, chocolate-heavy cookie.",chocolate-chip|cookies|large-portions,chocolate-chip|large-portions,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,bbq,BBQ,1,1,seattle-outsider-bbq,Outsider BBQ,Outsider BBQ,Ballard,Ballard; top-tier mac and cheese and pulled pork.,"Ballard. Texas-style BBQ. Sliced Brisket ~$40/lb, Pulled Pork ~$32/lb.",bbq|brisket|neighborhood-ballard|pulled-pork|slice|texas-style,brisket|neighborhood-ballard|pulled-pork|slice|texas-style,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,bbq,BBQ,2,2,seattle-wood-shop-bbq,Wood Shop BBQ,Wood Shop,Central District,Central District favorite.,"Central District. Started as a food truck, known for hickory-smoked meats.",bbq|neighborhood-central-district,neighborhood-central-district,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,bbq,BBQ,3,3,seattle-jack-s-bbq,Jack's BBQ,Jack's Barbecue,SoDo,Solid Texas-style BBQ.,"Multiple locations (SoDo, SLU, Algona). Central Texas style BBQ.",bbq|neighborhood-sodo|texas-style,neighborhood-sodo|texas-style,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,burgers,Burgers,1,1,seattle-ox-burger,Ox Burger,Ox Burger,Capitol Hill,Lao-style burger with pickled onions and provolone. Unique and flavorful.,Capitol Hill. Lao-inspired smash burgers. Lao Burger ~$18.,burger|burgers|distinctive|neighborhood-capitol-hill|smash-burger,burger|distinctive|neighborhood-capitol-hill|smash-burger,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,burgers,Burgers,2,2,seattle-familyfriend,Familyfriend,familyfriend,Beacon Hill,"Double smash burger, house-made sauce, Kewpie mayo. High consistency.",Beacon Hill. Also a favorite of Matt's. Focus on quality and simplicity.,burger|burgers|kewpie|neighborhood-beacon-hill|smash-burger,burger|kewpie|neighborhood-beacon-hill|smash-burger,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,burgers,Burgers,3,3,seattle-joez,Joez,Joez,Portage Bay,Oklahoma smash burger with in-house made buns.,"Portage Bay. Known for their thin, lacy-edged Oklahoma-style smash burgers.",burger|burgers|neighborhood-portage-bay|oklahoma-smash|smash-burger,burger|neighborhood-portage-bay|oklahoma-smash|smash-burger,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,burgers,Burgers,4,4,seattle-double-o-burgers,Double O Burgers,Double O Burgers,Seattle,Crunchy fries and caramelized onions.,Seattle. Known for classic smash burgers and excellent sides.,burger|burgers|classic|crunchy|smash-burger,burger|classic|crunchy|smash-burger,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,burgers,Burgers,5,5,seattle-dick-s-drive-in,Dick's Drive-In,Dick's Drive-In,Seattle,Classic Seattle staple; Seattle's In-N-Out.,Multiple locations. Iconic Seattle fast food institution since 1954.,burger|burgers|classic|hype-worthy|iconic|local-institution,burger|classic|hype-worthy|iconic|local-institution,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,pizza,Pizza,1,1,seattle-ak-pizza,AK Pizza,AK Pizza,Othello,Top-tier; consistent favorite.,Othello. Also a top favorite of Matt's. Exceptional dough work.,consistent|neighborhood-othello|pizza,consistent|neighborhood-othello,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,pizza,Pizza,2,2,seattle-stevie-s-famous,Stevie's Famous,Stevie’s Pizza,Burien,Highly recommended for their quality and crust.,Burien/South Seattle. Known for New York-style pies.,crust|neighborhood-burien|ny-style|pizza,crust|neighborhood-burien|ny-style,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,pizza,Pizza,3,3,seattle-post-alley-pizza,Post Alley Pizza,Post Alley,Downtown,Consistently high quality.,Downtown. Also ranked highly by Matt.,consistent|neighborhood-downtown|pizza,consistent|neighborhood-downtown,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,chicken-sandwiches,Chicken Sandwiches,1,1,seattle-triangle-spirits,Triangle Spirits,Triangle Spirits,Fremont,Fremont; best in Seattle; perfect crunch and flavor.,Fremont. Known for their hot chicken sandwich (~$19).,chicken|chicken-sandwiches|crunchy|neighborhood-fremont,chicken|crunchy|neighborhood-fremont,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,chicken-sandwiches,Chicken Sandwiches,2,2,seattle-milk-drunk,Milk Drunk,Milk Drunk,Beacon Hill,Beacon Hill favorite.,Beacon Hill. Specializes in fried chicken sandwiches and soft serve (~$13).,chicken|chicken-sandwiches|fried-chicken|neighborhood-beacon-hill|soft-serve,chicken|fried-chicken|neighborhood-beacon-hill|soft-serve,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,fried-chicken,Fried Chicken,1,1,seattle-cookie-s-country-chicken,Cookie's Country Chicken,Cookies Country Chicken,Pioneer Square,"Pioneer Square; large servings, southern-style, crunchy and juicy.",Pioneer Square. Also a Matt favorite. Known for massive portions.,chicken|crunchy|fried-chicken|juicy|large-portions|neighborhood-pioneer-square,chicken|crunchy|juicy|large-portions|neighborhood-pioneer-square,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,fried-chicken,Fried Chicken,2,2,seattle-mangosteen,Mangosteen,Mangosteen,Othello,"Othello; fish sauce wings, rich umami, maintains crunch.",Othello. Southeast Asian street food focus.,chicken|crunchy|fried-chicken|neighborhood-othello|umami|wings,chicken|crunchy|neighborhood-othello|umami|wings,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,bagels,Bagels,1,1,seattle-mt-bagel,Mt. Bagel,Mt. Bagel,Ballard,The gold standard for bagels in Seattle.,"Ballard. Known for their long lines and high-quality, hand-rolled bagels.",bagels|hype-worthy|neighborhood-ballard,hype-worthy|neighborhood-ballard,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,bagels,Bagels,2,2,seattle-hey-bagel,Hey Bagel,Hey Bagel,Seattle,"Crunchy outside, doughy inside.",Seattle. Focuses on traditional bagel textures.,bagels|crunchy,crunchy,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,donuts,Donuts,1,1,seattle-flour-box,Flour Box,Flour Box,Hillman City,"Hillman City; brioche-style (strawberry, hazelnut).",Hillman City. Famous for their brioche donuts and long lines.,brioche|donuts|hype-worthy|neighborhood-hillman-city,brioche|hype-worthy|neighborhood-hillman-city,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
nick-rizzo,Nick Rizzo,food reviewer / local ranking creator,,not_verified_user_uploaded_data,donuts,Donuts,2,2,seattle-fuji-bakery,Fuji Bakery,Fuji Bakery,Interbay,Interbay; crunchy cream Malasada (brioche-style donut).,Interbay/Chinatown. Japanese-French inspired bakery.,bakery|brioche|crunchy|distinctive|donuts|malasada|neighborhood-interbay,bakery|brioche|crunchy|distinctive|malasada|neighborhood-interbay,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
