creator_slug,creator_display_name,category_slug,original_category,rank_status,place_slug,place_name,source_feedback_summary,seed_details,attribution_status,recommended_use
matthew-norman,Matthew Norman,fried-chicken,Chicken,The Mecca,ezell-s-famous-chicken,Ezell's Famous Chicken,10-year regular. Referred to as the Mecca of Seattle chicken. Spicy tenders + rolls are money.,Central District (Garfield High School location). Original spot of the famous chain.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,burgers,Burgers,#1 Spot Now,familyfriend,familyfriend,Number one spot for the burger in Seattle right now. Freaking delicious.,Beacon Hill. Known for double smash burgers with house-made sauce and Kewpie mayo.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,burgers,Burgers,Top Favorite,coastline-burgers,Coastline Burgers,Classic flat top burger. One of his favorite types.,"Seattle. Known for simple, well-executed flat top burgers with fresh ingredients.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,noodles,Noodles,All-time Favorite,ooink,Ooink,"Mapo Tofu Ramen; rich, velvety broth. Might be my favorite ramen of all time.",Capitol Hill. Specializes in unique fusion ramen like Mapo Tofu Ramen (~$20.50).,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,noodles,Noodles,Top Pick,phnom-penh-noodle-house,Phnom Penh Noodle House,Wonton noodle soup is freaking delicious. Uniquely clear broth.,913 S Jackson St. Iconic Cambodian restaurant. Famous for its Sate Beef Noodle Soup (~$20.95).,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,cookies,Cookies,1,volunteer-park-cafe,Volunteer Park Cafe,"Perfect texture: crisp edges, right in the center.",1501 17th Ave E. Historic cafe in North Capitol Hill. Cookies are highly rated for texture.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,cookies,Cookies,2,pastry-project,Pastry Project,Pioneer Square bakery window; top-tier chocolate chip cookie.,Pioneer Square. Community-focused bakery providing job training in the pastry arts.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,cookies,Cookies,3,a-k-pizza,A.K. Pizza,"Massive piece of chonk; cakey, soft texture, crispy edges; rich and flavorful.","Othello station area. Known for their pizza, but their massive cookies are a standout.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,cookies,Cookies,4,carmelo-s-tacos,Carmelo's Tacos,Brown butter chocolate chip with almonds; dip in horchata for a mind-blowing experience.,"Capitol Hill. Famous for tacos, but the brown butter almond cookie is a hidden gem.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,cookies,Cookies,5,metropolitan-market,Metropolitan Market,The Cookie (chocolate chips + walnuts); gooey; slightly overrated but delicious.,"Multiple locations. Famous for their massive, warm, chocolate-heavy cookie.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,bbq,Barbecue,1,outsider-bbq,Outsider BBQ,Ballard; top-tier mac and cheese and pulled pork.,"Ballard. Texas-style BBQ. Sliced Brisket ~$40/lb, Pulled Pork ~$32/lb.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,bbq,Barbecue,2,wood-shop,Wood Shop,Central District favorite.,"Central District. Started as a food truck, known for hickory-smoked meats.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,bbq,Barbecue,3,jack-s-barbecue,Jack's Barbecue,Solid Texas-style BBQ.,"Multiple locations (SoDo, SLU, Algona). Central Texas style BBQ.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,burgers,Burgers,1,ox-burger,Ox Burger,Lao-style burger with pickled onions and provolone. Unique and flavorful.,Capitol Hill. Lao-inspired smash burgers. Lao Burger ~$18.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,burgers,Burgers,2,familyfriend,familyfriend,"Double smash burger, house-made sauce, Kewpie mayo. High consistency.",Beacon Hill. Also a favorite of Matt's. Focus on quality and simplicity.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,burgers,Burgers,3,joez,Joez,Oklahoma smash burger with in-house made buns.,"Portage Bay. Known for their thin, lacy-edged Oklahoma-style smash burgers.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,burgers,Burgers,4,double-o-burgers,Double O Burgers,Crunchy fries and caramelized onions.,Seattle. Known for classic smash burgers and excellent sides.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,burgers,Burgers,5,dick-s-drive-in,Dick's Drive-In,Classic Seattle staple; Seattle's In-N-Out.,Multiple locations. Iconic Seattle fast food institution since 1954.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,pizza,Pizza,1,a-k-pizza,A.K. Pizza,Top-tier; consistent favorite.,Othello. Also a top favorite of Matt's. Exceptional dough work.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,pizza,Pizza,2,stevie-s-pizza,Stevie's Pizza,Highly recommended for their quality and crust.,Burien/South Seattle. Known for New York-style pies.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,pizza,Pizza,3,post-alley-pizza,Post Alley Pizza,Consistently high quality.,Downtown. Also ranked highly by Matt.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,chicken-sandwiches,Chicken Sandwiches,1,triangle-spirits,Triangle Spirits,Fremont; best in Seattle; perfect crunch and flavor.,Fremont. Known for their hot chicken sandwich (~$19).,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,chicken-sandwiches,Chicken Sandwiches,2,milk-drunk,Milk Drunk,Beacon Hill favorite.,Beacon Hill. Specializes in fried chicken sandwiches and soft serve (~$13).,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,fried-chicken,Fried Chicken,1,cookie-s-country-chicken,Cookie’s Country Chicken,"Pioneer Square; large servings, southern-style, crunchy and juicy.",Pioneer Square. Also a Matt favorite. Known for massive portions.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,fried-chicken,Fried Chicken,2,mangosteen,Mangosteen,"Othello; fish sauce wings, rich umami, maintains crunch.",Othello. Southeast Asian street food focus.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,bagels,Bagels,1,mt-bagel,Mt. Bagel,The gold standard for bagels in Seattle.,"Ballard. Known for their long lines and high-quality, hand-rolled bagels.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,bagels,Bagels,2,hey-bagel,Hey Bagel,"Crunchy outside, doughy inside.",Seattle. Focuses on traditional bagel textures.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,donuts,Donuts,1,flour-box,Flour Box,"Hillman City; brioche-style (strawberry, hazelnut).",Hillman City. Famous for their brioche donuts and long lines.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
nick-rizzo,Nick Rizzo,donuts,Donuts,2,fuji-bakery,Fuji Bakery,Interbay; crunchy cream Malasada (brioche-style donut).,Interbay/Chinatown. Japanese-French inspired bakery.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
